Pokemon,No.,Caught?,Ruby,Sapphire,Leafgreen,Firered,Emerald,Colosseum,XD: Gale of Darkness
Graveler,75,FALSE,Victory Road Basement 1 (Rock Smash),Victory Road Basement 1 (Rock Smash),"Cerulean Cave Floors 1 & 2 & Basement 1, Kindle Road, Mt Ember Floor 1 & Basements 1 & 2, Mt. Ember, Seavault Canyon (Rock Smash)","Cerulean Cave Floors 1 & 2 & Basement 1, Kindle Road, Mt Ember Floor 1 & Basements 1 & 2, Mt. Ember, Seavault Canyon (Rock Smash)","Magma Hideout (Cave), Victory Road Basement 1 (Rock Smash)",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Golem,76,FALSE,Evolve Graveler,Evolve Graveler,Evolve Graveler,Evolve Graveler,Evolve Graveler,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Ponyta,77,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Kindle Road, Mt. Ember","Kindle Road, Mt. Ember",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Rapidash,78,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Kindle Road, Mt. Ember","Kindle Road, Mt. Ember",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Kolest in Citadark Isle
Slowpoke,79,FALSE,Trade from LeafGreen,Trade from LeafGreen,"Berry Forest, Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Icefall Cave Floor 1, Kindle Road, Ruin Valley, Seafoam Island Floors 1 & Basements 1, 2, 3 & 4, Treasure Beach, Water Path (Grass)Routes 6, 22, 23 & 25, Celadon City, Four Island, Fuchsia City, Viridian City, Berry Forest, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Icefall Cave Floor 1, Safari Zone Areas 1, 2, 3 & Center, Seafoam Island Basements 3 & 4 (Surf)Routes 4, 6, 10, 11, 12, 13, 19, 20, 21 22, 23 & 25, Cerulean City, Cinnabar Island, Four Island, Fuchsia City, Lavender Town, One Island, Pallet Town, Viridian City, Berry Forest, Bond Bridge, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Ruin Valley, Safari Zone Areas 1, 2, 3 & Center, Seafoam Island Basements 3 & 4, S.S. Anne, Tanoby Ruins, Trainer Tower, Treasure Beach, Water Labyrinth, Water Path (Fish)",Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen
Slowbro,80,FALSE,Trade from LeafGreen,Trade from LeafGreen,"Seafoam Islands Basements 1 & 2 (Cave) & 3 & 4, Cape Brink (Surf & Cave), Berry Forest, Cerulean Cave Floor 1 & Basement 1 (Surf), Cinnabar Island (Fish)",Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen,Trade from LeafGreen
Magnemite,81,FALSE,New Mauville,New Mauville,Power Plant,Power Plant,New Mauville,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Magneton,82,FALSE,New Mauville,New Mauville,"Cerulean Cave Floors 1 & 2 & Basement 1, Power Plant","Cerulean Cave Floors 1 & 2 & Basement 1, Power Plant",New Mauville,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Snagged from Cipher Peon Snidle in Cipher Key Lair
Farfetch'd,83,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade for Spearow in Vermillion City,Trade for Spearow in Vermillion City,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Lovrina in Citadark Isle
Doduo,84,FALSE,"Safari Zone Entrance, Left & Mach Bike Areas","Safari Zone Entrance, Left & Mach Bike Areas","Routes 16, 17 & 18, Safari Zone Areas 1 & 3","Routes 16, 17 & 18, Safari Zone Areas 1 & 3","Safari Zone Entrance, Left & Mach Bike Areas",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Dodrio,85,FALSE,Safari Zone Mach Bike Area,Safari Zone Mach Bike Area,Evolve Doduo,Evolve Doduo,Safari Zone Mach Bike Area,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Snagged from Chaser Furgy in Citadark Isle
Seel,86,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Icefall Cave Floor 1 & Basement 1, Seafoam Island Basements 1, 2, 3 & 4 (Cave & Surf)","Icefall Cave Floor 1 & Basement 1, Seafoam Island Basements 1, 2, 3 & 4 (Cave & Surf)",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Egrog in Phenac Stadium
Dewgong,87,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Icefall Cave Floor 1 & Basement 1, Seafoam Island Basements 3 & 4 (Cave & Surf)","Icefall Cave Floor 1 & Basement 1, Seafoam Island Basements 3 & 4 (Cave & Surf)",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Seel
Grimer,88,FALSE,Fiery Path,Fiery Path,"Celadon City (Fish), Pokémon Mansion Floors 1, 2, 3 & Basement 1","Celadon City (Fish), Pokémon Mansion Floors 1, 2, 3 & Basement 1",Fiery Path,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Snagged from Cipher Peon Faltly in Phenac Stadium
Muk,89,FALSE,Evolve Grimer,Evolve Grimer,"Pokémon Mansion Floors 1, 2, 3 & Basement 1",Evolve Grimer,Evolve Grimer,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Evolve Grimer
Shellder,90,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,"Route 25, Cinnabar Island, Icefall Cave Entrance, One Island, Pallet Town, S.S. Anne (Fish)",Trade from FireRed/XD,Trade from FireRed/XD,Snagged from Cipher Peon Gorog in Cipher Key Lair
Cloyster,91,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Evolve Shellder,Trade from FireRed/XD,Trade from FireRed/XD,Evolve Shellder
Gastly,92,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Lost Cave & Pokémon Tower Floors 3, 4, 5, 6 & 7","Lost Cave & Pokémon Tower Floors 3, 4, 5, 6 & 7",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Haunter,93,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Lost Cave & Pokémon Tower Floors 3, 4, 5, 6 & 7","Lost Cave & Pokémon Tower Floors 3, 4, 5, 6 & 7",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Gengar,94,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Haunter,Evolve Haunter,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Onix,95,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Rock Tunnel Floor 1 & Basement 1, Seavault Canyon, Victory Road Floors 1, 2 & 3","Rock Tunnel Floor 1 & Basement 1, Seavault Canyon, Victory Road Floors 1, 2 & 3",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Drowzee,96,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Route 11, Berry Forest","Route 11, Berry Forest",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Hypno,97,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Berry Forest,Berry Forest,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Gorigan in Cipher Key Lair
Krabby,98,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 4, 10, 11, 12, 13, 19, 20, 21, 24 & 25, Bond Bridge, Cerulean City, Cinnabar Island, Five Isle Meadow, Green Path, Icefall Cave Floor 1 Inner, Kindle Road, Lavender Town, Memorial Pillar, One Island, Outcast Island, Pallet Town, Resort Gorgeous, Seafoam Island Basements 3 & 4, SS Anne, Tanoby Ruins, Trainer Tower, Treasure Beach, Water Labyrinth, Water Path (Fish), Seafoam Island Basements 3 & 4 (Surf)","Routes 4, 10, 11, 12, 13, 19, 20, 21, 24 & 25, Cerulean City, Cinnabar Island, Lavender Town, Pallet Town, Seafoam Island Basements 3 & 4, SS Anne (Fish)",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Kingler,99,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Routes 19, 20, 21 & 25, One Island, Pallet Town, Bond Bridge, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Tanoby Ruins, Trainer Tower, Treasure Beach, Water Labyrinth, Water Path (Fish)",Evolve Krabby,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Voltorb,100,FALSE,New Mauville,New Mauville,"Route 10, Power Plant","Route 10, Power Plant",New Mauville,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Snagged from Miror B in the Cave PokéSpot
Electrode,101,FALSE,New Mauville Basement,New Mauville Basement,Cerulean Cave Floors 1 & 2 & Basement 1,Cerulean Cave Floors 1 & 2 & Basement 1,New Mauville Basement,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Evolve Voltorb
Exeggcute,102,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Berry Forest, Safari Zone Areas 1, 2, 3 & Center","Berry Forest, Safari Zone Areas 1, 2, 3 & Center",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Exeggutor,103,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Exeggcute,Evolve Exeggcute,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Boss Greevil in Citadark Isle
Cubone,104,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Pokemon Tower Floors 3, 4, 5, 6 & 7, Seavault Canyon","Pokemon Tower Floors 3, 4, 5, 6 & 7, Seavault Canyon",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Marowak,105,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Seavault Canyon, Victory Road Floors 1, 2 & 3","Seavault Canyon, Victory Road Floors 1, 2 & 3",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Eldes in Citadark Isle
Hitmonlee,106,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Obtained after defeating Fighting Dojo in Saffron City,Obtained after defeating Fighting Dojo in Saffron City,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Petro in Citadark Isle
Hitmonchan,107,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Obtained after defeating Fighting Dojo in Saffron City,Obtained after defeating Fighting Dojo in Saffron City,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Karbon in Citadark Isle
Lickitung,108,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade for Slowbro in Route 18 Gate,Trade for Golduck in Route 18 Gate,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Gefta in Citadark Isle
Koffing,109,FALSE,Fiery Path,Fiery Path,"Celadon City (Surf), Pokemon Mansion Floors 1, 2, 3 & 4","Celadon City (Surf/Rare), Pokemon Mansion Floors 1, 2, 3 & 4",Fiery Path,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Weezing,110,FALSE,Evolve Koffing,Evolve Koffing,Evolve Koffing,"Pokemon Mansion Floors 1, 2, 3 & 4",Evolve Koffing,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Rhyhorn,111,FALSE,Safari Zone Mach Bike Area,Safari Zone Mach Bike Area,Safari Zone Areas 2 & Center,Safari Zone Areas 2 & Center,Safari Zone Mach Bike Area,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Rhydon,112,FALSE,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/XD,Snagged from Cipher Boss Greevil in Citadark Isle
Chansey,113,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Safari Zone Areas 2 & Center,Safari Zone Areas 2 & Center,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Leden in Citadark Isle
Tangela,114,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,"Route 21 Grass, Treasure Beach","Route 21 Grass, Treasure Beach",Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Targ in Cipher Key Lair
Kangaskhan,115,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Safari Zone Areas 1 & 3,Safari Zone Areas 1 & 3,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Litnar in Citadark Isle
Horsea,116,FALSE,"Routes 132, 133, 134 (Fish)","Routes 132, 133, 134 (Fish)","Routes 4, 10, 11, 12, 13, 19, 20, 21, 24 & 25, Cerulan City, Cinnabar Island, Lavender Town, One Island, Pallet Town, Seafoam Island Basements 3 & 4, S.S. Anne (Fish)","Seafoam Island Basements 3 & 4 (Surf), Routes 4, 10, 11, 12, 13, 19, 20, 21, 24 & 25, Cerulan City, Cinnabar Island, Lavender Town, One Island, Pallet Town, Berry Forest, Bond Bridge, Cape Brink, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Ruin Valley, Seafoam Island Basements 3 & 4, S.S. Anne, Tanoby Ruins, Trainer Tower, Treasure Beach, Water Labyrinth, Water Path (Fish)","Routes 132, 133, 134 (Fish)",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Seadra,117,FALSE,Evolve Horsea,Evolve Horsea,Evolve Horsea,"Routes 19, 20, 21, 24 & 25, Cerulan City, Cinnabar Island, Lavender Town, One Island, Pallet Town, Berry Forest, Bond Bridge, Cape Brink, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Ruin Valley, Seafoam Island Basements 3 & 4, S.S. Anne, Tanoby Ruins, Trainer Tower, Treasure Beach, Water Labyrinth, Water Path (Fish)",Evolve Horsea,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/
Goldeen,118,FALSE,"Route 102, 111, 114, 117, 120, Petalburg City, Victory Road, Meteor Falls, Safari Zone (Fish)","Route 102, 111, 114, 117, 120, Petalburg City, Victory Road, Meteor Falls, Safari Zone (Fish)","Routes 6, 22, 23 & 25, Fuchsia City, Four Island, Viridian City, Berry Forest, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Icefall Cave Entrance, Safari Zone Areas 1, 2, 3 & Center, Ruin Valley (Fish)","Routes 6, 22, 23 & 25, Fuchsia City, Four Island, Viridian City, Berry Forest, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Icefall Cave Entrance, Safari Zone Areas 1, 2, 3 & Center, Ruin Valley (Fish)","Route 102, 111, 114, 117, 120, Petalburg City, Victory Road, Meteor Falls, Safari Zone (Fish), Routes 102, 111, 114, 117 & 120 (Surf - Rare)",Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Seaking,119,FALSE,Safari Zone Mach Bike & Left Areas (Fish),Safari Zone Mach Bike & Left Areas (Fish),"Berry Forest, Fuchsia City, Safari Zone Areas 1, 2, 3 & Center (Fish)","Berry Forest, Fuchsia City, Safari Zone Areas 1, 2, 3 & Center (Fish)",Safari Zone Mach Bike & Left Areas (Fish),Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Staryu,120,FALSE,Lilycove City (Fish),Lilycove City (Fish),"Pallet Town, Vermilion City, Cinnabar Island, One Island, Icefall Cave, Five Island",Trade from Ruby/Sapphire/Emerald/LeafGreen,Lilycove City (Fish),Trade from Ruby/Sapphire/Emerald/LeafGreen,Trade from Ruby/Sapphire/Emerald/LeafGreen
Starmie,121,FALSE,Evolve Staryu,Evolve Staryu,Evolve Staryu,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Evolve Staryu,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Snagged from Cipher Admin Snattle in Citadark Isle
Mr. Mime,122,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Trade for Abra in house on Route 2,Trade for Abra in house on Route 2,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Gorigan in Citadark Isle
Scyther,123,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Safari Zone Areas 1 & Center,Trade from FireRed/XD,Trade from FireRed/XD,Snagged from Cipher Peon Leden in Citadark Isle
Jynx,124,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade for Poliwhirl in Cerulean City,Trade for Poliwhirl in Cerulean City,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen/Colosseum
Electabuzz,125,FALSE,Trade from FireRed/XD,Trade from FireRed/XD,Trade from FireRed/XD,Power Plant,Trade from FireRed/XD,Trade from FireRed/XD,Snagged from Cipher Admin Ardos in Citadark Isle
Magmar,126,FALSE,Trade from LeafGreen/XD,Trade from LeafGreen/XD,Mt. Ember Grass,Trade from LeafGreen/XD,Trade from LeafGreen/XD,Trade from LeafGreen/XD,Snagged from Cipher Peon Grupel in Citadark Isle
Pinsir,127,FALSE,Safari Zone Mach Bike Area,Safari Zone Mach Bike Area,Safari Zone Areas 1 & Center,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Safari Zone Mach Bike Area,Trade from Ruby/Sapphire/Emerald/LeafGreen/XD,Snagged from Cipher Peon Grupel in Citadark Isle
Tauros,128,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Safari Zone Areas 2 & 3,Safari Zone Areas 2 & 3,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Boss Greevil in Citadark Isle
Magikarp,129,FALSE,Fish Everywhere With Old Rod,Fish Everywhere With Old Rod,Fish Everywhere With Old Rod,Fish Everywhere With Old Rod,Fish Everywhere With Old Rod,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Gyarados,130,FALSE,Sootopolis City (Fish),Sootopolis City (Fish),"Routes 4, 6, 10, 11, 12, 13, 19, 20, 21 22, 23 & 25, Cerulean City, Cinnabar Island, Four Island, Fuchsia City, Lavender Town, One Island, Pallet Town, Viridian City, Berry Forest, Bond Bridge, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Ruin Valley, Safari Zone Areas 1, 2, 3 & Center, Seafoam Island Basements 3 & 4, S.S. Anne, Tanoby Ruins, Trainer Tower, Treasure Beach, Water Labyrinth, Water Path (Fish)","Routes 4, 6, 10, 11, 12, 13, 19, 20, 21 22, 23 & 25, Cerulean City, Cinnabar Island, Four Island, Fuchsia City, Lavender Town, One Island, Pallet Town, Viridian City, Berry Forest, Bond Bridge, Cape Brink, Cerulean Cave Floor 1 & Basement 1, Five Isle Meadow, Green Path, Icefall Cave Floor 1, Kindle Road, Memorial Pillar, Outcast Island, Resort Gorgeous, Ruin Valley, Safari Zone Areas 1, 2, 3 & Center, Seafoam Island Basements 3 & 4, S.S. Anne, Tanoby Ruins, Trainer Tower, Treasure Beach, Water Labyrinth, Water Path (Fish)",Sootopolis City (Fish),Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen,Trade from Ruby/Sapphire/Emerald/FireRed/LeafGreen
Lapras,131,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Icefall Cave Floor 1 Inner,Icefall Cave Floor 1 Inner,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Eldes in Citadark Isle
Ditto,132,FALSE,Trade from Emerald/FireRed/LeafGreen,Trade from Emerald/FireRed/LeafGreen,"Routes 13, 14 & 15, Cerulean Cave Floors 1, 2 & Basement 1, Pokémon Mansion Basement 1","Routes 13, 14 & 15, Cerulean Cave Floors 1, 2 & Basement 1, Pokémon Mansion Basement 1",Desert Underpass,Trade from Emerald/FireRed/LeafGreen,Trade from Emerald/FireRed/LeafGreen
Eevee,133,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Given to you in Celadon Mansion,Given to you in Celadon Mansion,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Starter Pokémon
Vaporeon,134,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Eevee,Evolve Eevee,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Eevee
Jolteon,135,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Eevee,Evolve Eevee,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Eevee
Flareon,136,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Eevee,Evolve Eevee,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Eevee
Porygon,137,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Celadon Game Corner 6500 Coins,Celadon Game Corner 9999 Coins,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Omanyte,138,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Revive From Helix Fossil,Revive From Helix Fossil,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Omastar,139,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Omanyte,Evolve Omanyte,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Kabuto,140,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Revive From Dome Fossil,Revive From Dome Fossil,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Kabutops,141,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Kabuto,Evolve Kabuto,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Aerodactyl,142,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Revive From Old Amber,Revive From Old Amber,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Snorlax,143,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Routes 12 & 16,Routes 12 & 16,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Admin Ardos in Citadark Isle
Articuno,144,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Seafoam Islands Floor 4,Seafoam Islands Floor 4,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Boss Greevil in Citadark Isle
Zapdos,145,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Power Plant,Power Plant,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Boss Greevil in Citadark Isle
Moltres,146,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Mt. Ember Peak,Mt. Ember Peak,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Boss Greevil in Citadark Isle
Dratini,147,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Safari Zone Areas 1, 2, 3 & Center (Fish)","Safari Zone Areas 1, 2, 3 & Center (Fish)",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Dragonair,148,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Safari Zone Areas 1, 2, 3 & Center (Fish)","Safari Zone Areas 1, 2, 3 & Center (Fish)",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Dragonite,149,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Dragonair,Evolve Dragonair,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Wanderer Miror B in Gateon Port
Mewtwo,150,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Cerulean Cave Basement 1,Cerulean Cave Basement 1,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Mew,151,FALSE,Trade from Emerald,Trade from Emerald,Trade from Emerald,Trade from Emerald,Faraway Island,Trade from Emerald,Trade from Emerald
Chikorita,152,FALSE,Trade from Emerald/XD,Trade from Emerald/XD,Trade from Emerald/XD,Trade from Emerald/XD,Given by Professor Birch after completing Hoenn Dex,Trade from Emerald/XD,Prize for Defeating Mt. Battle
Bayleef,153,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Chikorita,Snagged from Mystery Troop Verda in Phenac City or Snagem Hideout,Evolve Chikorita
Meganium,154,FALSE,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Trade from Emerald/Colosseum/XD,Evolve Bayleef,Evolve Bayleef,Evolve Bayleef
Cyndaquil,155,FALSE,Trade from Emerald/XD,Trade from Emerald/XD,Trade from Emerald/XD,Trade from Emerald/XD,Given by Professor Birch after completing Hoenn Dex,Trade from Emerald/XD,Prize for Defeating Mt. Battle
